Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740533808165,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,100,100,100,100,31565.630310058594,207995.85528564453,154949.78930664063,7349.316650390625,16913207296,18253611008,9178972160,0
198,1740533808167,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,78.25695037841797,57.046165466308594,64.32711791992188,76.58401489257813,80.51716613769531,52.918521881103516,86.33885955810547,50.27253341674805,58.75236892700195,55.563232421875,85.65817260742188,50.64934158325195,31565.64453125,207996.23388671875,154950.13934326172,7349.316650390625,16913207296,18253611008,9178984448,0
200,1740533808365,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,5.653419494628906,2.0455398559570313,4.168670654296875,6.345695495605469,89.30463409423828,3.7059555053710938,53.83368682861328,1.5647506713867188,8.054519653320313,1.8082199096679688,9.116462707519531,2.2298736572265625,31565.880249023438,208002.68579101563,154956.21044921875,7349.316650390625,16913207296,18253611008,9253183488,0
7,1740533808566,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,0,0,0,0,67.5224609375,0,9.871994018554688,0,9.720352172851563,0,10.982025146484375,0,31566.154296875,208007.3477783203,154960.48345947266,7349.316650390625,16913207296,18253611008,9172398080,0
