Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740546341550,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,30.440994262695313,0,5.318519592285156,30.69171905517578,70.22545623779297,0,73.98561096191406,0,27.92644500732422,0,56.14806365966797,0,40631.42559814453,20702.55224609375,219635.26300048828,7637.7738037109375,16913207296,18253611008,9280598016,0
197,1740546341552,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,82.4044189453125,67.17534637451172,82.19189453125,62.138893127441406,80.6536865234375,63.32759475708008,100,62.04927444458008,90.44366455078125,66.32014465332031,82.86209869384766,64.9502944946289,40631.43542480469,20702.66180419922,219635.38568115234,7637.7738037109375,16913207296,18253611008,9283104768,0
200,1740546341750,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,16.973487854003906,0.7427291870117188,36.47386932373047,3.9319000244140625,65.75574493408203,8.738212585449219,51.69680404663086,14.718666076660156,9.848274230957031,0.5396728515625,9.313858032226563,2.5889892578125,40631.666564941406,20710.100646972656,219642.47216796875,7637.7738037109375,16913207296,18253611008,9328828416,0
200,1740546341951,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,3.0377655029296875,1.0559234619140625,92.32893371582031,1.7546844482421875,6.115806579589844,29.20618438720703,4.46697998046875,35.87181854248047,4.195350646972656,1.2094497680664063,2.5139541625976563,1.6193618774414063,40631.848083496094,20717.079345703125,219649.0923461914,7637.7738037109375,16913207296,18253611008,9353506816,0
200,1740546342151,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,46.38227844238281,14.756271362304688,87.30156707763672,3.7411575317382813,4.7447662353515625,82.76496887207031,5.394447326660156,60.42890930175781,20.157699584960938,5.2001495361328125,71.30584716796875,3.4015045166015625,40632.143615722656,20729.161376953125,219660.77447509766,7637.7738037109375,16913207296,18253611008,9384022016,0
199,1740546342352,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,16.298301696777344,10.116546630859375,67.22457885742188,1.6601181030273438,18.234764099121094,16.933738708496094,11.675224304199219,11.629112243652344,24.132118225097656,0.4647369384765625,6.39324951171875,1.103057861328125,40632.36950683594,20735.300354003906,219666.5424194336,7637.7738037109375,16913207296,18253611008,9399775232,0
200,1740546342552,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,12.549652099609375,0.7741622924804688,99.03557586669922,0,9.398147583007813,9.478546142578125,4.1522064208984375,0.7814559936523438,12.1304931640625,0,6.155609130859375,0,40632.65380859375,20741.458984375,219672.32202148438,7637.7738037109375,16913207296,18253611008,9626116096,0
200,1740546342752,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,8.739189147949219,1.082366943359375,86.30953979492188,1.2532958984375,7.6397705078125,11.444290161132813,26.814231872558594,7.223663330078125,8.744674682617188,12.201210021972656,11.94122314453125,8.42236328125,40632.920471191406,20747.312622070313,219677.7987060547,7637.7738037109375,16913207296,18253611008,9662373888,0
199,1740546342953,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,7.495368957519531,0.713470458984375,100,0,12.592025756835938,2.3470611572265625,7.038032531738281,5.913078308105469,6.003898620605469,2.7843856811523438,3.906494140625,0.0315399169921875,40633.08386230469,20753.232971191406,219683.36895751953,7637.801025390625,16913207296,18253611008,9671004160,0
200,1740546343153,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2.758331298828125,0.43173980712890625,100,0.44548797607421875,2.1937026977539063,2.3166427612304688,1.7931442260742188,1.7983856201171875,2.85748291015625,0.884979248046875,1.3568038940429688,1.0633392333984375,40633.228942871094,20758.22235107422,219688.00134277344,7637.801025390625,16913207296,18253611008,9649475584,0
199,1740546343353,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,1.536376953125,0.4053802490234375,100,0.40493011474609375,2.946014404296875,2.599365234375,1.9494857788085938,0.400299072265625,1.5489883422851563,0.5054473876953125,0.6842269897460938,0.8965682983398438,40633.37121582031,20763.290161132813,219692.76092529297,7637.801025390625,16913207296,18253611008,9649799168,0
2,1740546343553,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2.5734329223632813,14.130348205566406,57.894500732421875,2.0926437377929688,8.022926330566406,4.100181579589844,2.9595718383789063,6.127067565917969,3.7471466064453125,1.4497528076171875,1.7028884887695313,1.3855819702148438,40633.53338623047,20767.381896972656,219696.5477294922,7637.801025390625,16913207296,18253611008,9276641280,0
