Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740532987294,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,35.67914581298828,44.54238510131836,43.426944732666016,53.274051666259766,75.64635467529297,34.429542541503906,70.62330627441406,35.99738311767578,58.28931427001953,32.39440155029297,66.5374755859375,35.25785827636719,30974.648803710938,203300.14331054688,150902.82525634766,7329.451965332031,16913207296,18253611008,9090506752,0
198,1740532987296,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,100,100,100,100,30974.659118652344,203300.45629882813,150903.12127685547,7329.451965332031,16913207296,18253611008,9091059712,0
200,1740532987494,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,17.219711303710938,4.92584228515625,14.7620849609375,5.3544464111328125,79.70907592773438,4.2706298828125,37.100830078125,2.453521728515625,39.20378494262695,2.2988739013671875,8.889602661132813,2.8739089965820313,30974.908325195313,203306.87243652344,150909.12994384766,7329.451965332031,16913207296,18253611008,9188356096,0
199,1740532987695,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,4.235687255859375,0.36009979248046875,1.0565109252929688,0.9575576782226563,93.62684631347656,0.5254364013671875,2.0849456787109375,0.5060882568359375,8.034706115722656,0.44773101806640625,1.060455322265625,1.1732254028320313,30975.161499023438,203311.99200439453,150913.87371826172,7329.451965332031,16913207296,18253611008,9243783168,0
200,1740532987895,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,4.818626403808594,1.2591400146484375,2.23486328125,2.2885055541992188,94.4272232055664,2.3272933959960938,6.608512878417969,3.6178665161132813,5.974922180175781,2.8188629150390625,4.6920013427734375,2.71502685546875,30975.340270996094,203317.8250732422,150919.3519897461,7329.451965332031,16913207296,18253611008,9236078592,0
6,1740532988096,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,0,0,0,0,1.850921630859375,0,0.27587127685546875,0,1.0236740112304688,0,5.663665771484375,0,30975.486267089844,203318.71545410156,150920.05072021484,7329.451965332031,16913207296,18253611008,9099194368,0
