Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740533455496,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,48.45302200317383,0,26.201942443847656,15.665657043457031,40.71271514892578,2.9759140014648438,29.303558349609375,2.9350738525390625,16.03955841064453,23.497848510742188,89.87271118164063,2.2823410034179688,31311.8564453125,205713.10443115234,152958.85443115234,7340.410217285156,16913207296,18253611008,9067110400,0
199,1740533455496,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,100,100,100,100,31311.868774414063,205713.4219970703,152959.1527709961,7340.410217285156,16913207296,18253611008,9067130880,0
200,1740533455696,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,46.84195327758789,5.601776123046875,40.43645095825195,7.569480895996094,51.432098388671875,16.709449768066406,30.117584228515625,18.04278564453125,18.27259063720703,8.697685241699219,12.713134765625,6.3771514892578125,31312.076416015625,205720.57446289063,152965.97943115234,7340.410217285156,16913207296,18253611008,9106472960,0
200,1740533455897,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,22.237449645996094,0.8910369873046875,84.19043731689453,5.672889709472656,5.751739501953125,13.727310180664063,5.290283203125,33.375526428222656,6.596900939941406,2.5425567626953125,2.6070404052734375,0.5499725341796875,31312.26300048828,205727.7133178711,152972.71606445313,7340.435363769531,16913207296,18253611008,9126072320,0
200,1740533456097,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,73.32659149169922,7.8828582763671875,71.28518676757813,22.63916015625,15.461929321289063,67.5732192993164,19.33172607421875,54.528343200683594,50.32787322998047,3.8422317504882813,23.229476928710938,3.0650482177734375,31312.554626464844,205739.59301757813,152984.23431396484,7340.435363769531,16913207296,18253611008,9165111296,0
200,1740533456298,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,26.73603057861328,0,55.09637451171875,6.091041564941406,6.111412048339844,17.6512451171875,40.81377410888672,6.571205139160156,16.993133544921875,0.0269622802734375,3.7045135498046875,0.8694000244140625,31312.800903320313,205746.86169433594,152991.0926513672,7340.435363769531,16913207296,18253611008,9201524736,0
200,1740533456498,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,15.5301513671875,0.76116943359375,99.03116607666016,0.596527099609375,1.7277069091796875,10.095024108886719,6.526618957519531,0.37215423583984375,8.976203918457031,0.24491119384765625,2.4006729125976563,0.40247344970703125,31313.097106933594,205753.05322265625,152996.89031982422,7340.435363769531,16913207296,18253611008,9424031744,0
199,1740533456699,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,8.518203735351563,1.3585662841796875,96.7968521118164,0.5801849365234375,3.5581512451171875,8.491622924804688,21.470199584960938,4.107513427734375,3.7180938720703125,9.989334106445313,3.5149078369140625,9.477432250976563,31313.32305908203,205759.5146484375,153002.994140625,7340.435363769531,16913207296,18253611008,9440763904,0
199,1740533456899,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2.9304656982421875,0.44403076171875,100,0.07466888427734375,2.25762939453125,0.9119949340820313,0.9848175048828125,0.45782470703125,0.7945938110351563,1.7140884399414063,0.6389541625976563,0.06687164306640625,31313.46258544922,205764.57275390625,153007.72705078125,7340.435363769531,16913207296,18253611008,9440378880,0
200,1740533457099,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,0.5310821533203125,0.518035888671875,100,0,4.214179992675781,0.5179901123046875,2.4143753051757813,0,1.251678466796875,0,3.6475067138671875,0,31313.61248779297,205769.99243164063,153012.7572631836,7340.462341308594,16913207296,18253611008,9440063488,0
200,1740533457299,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,7.7783966064453125,2.9205474853515625,76.35672760009766,1.4504318237304688,9.023811340332031,32.34596252441406,8.142127990722656,1.9615859985351563,4.956512451171875,1.7815933227539063,5.5787200927734375,1.922271728515625,31313.770629882813,205775.53564453125,153017.98889160156,7340.462341308594,16913207296,18253611008,9438126080,0
3,1740533457500,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2.5210800170898438,0.3836517333984375,17.922821044921875,0.8810501098632813,7.478248596191406,28.723556518554688,3.324676513671875,5.454315185546875,2.8826751708984375,2.2876052856445313,1.9920425415039063,0.7411575317382813,31313.93798828125,205778.51171875,153020.71746826172,7340.462341308594,16913207296,18253611008,9065697280,0
