Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740542707854,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,41.168949127197266,9.281234741210938,11.557746887207031,18.45824432373047,80.00128173828125,13.271514892578125,21.023147583007813,8.30029296875,75.32292938232422,10.643302917480469,24.054229736328125,45.67399978637695,38008.77209472656,1468.4866333007813,203203.2728881836,7557.420593261719,16913207296,18253611008,9235288064,0
198,1740542707856,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,100,100,100,100,38008.78381347656,1468.6809692382813,203203.44104003906,7557.420593261719,16913207296,18253611008,9234202624,0
200,1740542708054,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,11.317359924316406,11.12066650390625,15.4833984375,5.8747711181640625,70.43286895751953,14.350608825683594,30.31169891357422,5.2813262939453125,40.51810836791992,4.135475158691406,6.4611968994140625,19.714202880859375,38009.059020996094,1475.1689453125,203209.5150756836,7557.457458496094,16913207296,18253611008,9292742656,0
200,1740542708255,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2.684783935546875,8.128265380859375,1.6680679321289063,1.2382888793945313,32.551597595214844,4.442771911621094,69.03038787841797,1.1964950561523438,5.0168304443359375,1.1992950439453125,1.9208221435546875,1.1808319091796875,38009.331115722656,1479.9779052734375,203213.87908935547,7557.494384765625,16913207296,18253611008,9510359040,0
2,1740542708455,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,4.3342437744140625,0.6031036376953125,1.3821182250976563,0.174560546875,95.12297821044922,0.5097274780273438,15.5345458984375,0,5.8269805908203125,0.6071624755859375,1.3445053100585938,0.00586700439453125,38009.63507080078,1485.1953125,203218.6746826172,7557.5296630859375,16913207296,18253611008,9514360832,0
