Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740531428217,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,15.986038208007813,4.6478424072265625,25.600120544433594,19.170738220214844,47.29833221435547,20.78893280029297,52.86501693725586,47.56569290161133,21.11882781982422,12.377647399902344,49.35935974121094,44.696842193603516,29848.92791748047,194633.07244873047,143458.47650146484,7291.6767578125,16913207296,18253611008,9102307328,0
198,1740531428219,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,65.29650115966797,49.47216033935547,76.76150512695313,48.12273025512695,89.07823181152344,42.71540069580078,42.7064208984375,100,74.87910461425781,43.67424011230469,60.0328369140625,54.30290222167969,29848.945556640625,194633.35321044922,143458.73944091797,7291.6767578125,16913207296,18253611008,9101668352,0
200,1740531428418,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,1.7909088134765625,10.123764038085938,2.9632415771484375,0,85.19493865966797,0.1045074462890625,22.751129150390625,30.013145446777344,10.660346984863281,2.6909255981445313,3.5092239379882813,0.9453201293945313,29849.173217773438,194639.5601196289,143464.59204101563,7291.6767578125,16913207296,18253611008,9210961920,0
2,1740531428618,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,3.8557662963867188,0.48664093017578125,1.3415679931640625,10.344589233398438,65.96882629394531,1.1329116821289063,21.00902557373047,0.5013961791992188,51.22978973388672,0.313568115234375,3.0344772338867188,0.7718505859375,29849.487182617188,194645.34100341797,143469.9600830078,7291.6767578125,16913207296,18253611008,9108254720,0
