Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740535352572,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,16.650146484375,2.938751220703125,13.092308044433594,2.5255966186523438,74.94291687011719,0,66.35179138183594,6.1646575927734375,15.190040588378906,20.469558715820313,56.998958587646484,14.7359619140625,32676.358764648438,216036.92559814453,161806.4116821289,7383.870666503906,16913207296,18253611008,9086377984,0
198,1740535352574,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,100,100,100,100,32676.37109375,216037.26922607422,161806.72772216797,7383.870666503906,16913207296,18253611008,9091018752,0
200,1740535352773,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,7.184333801269531,4.1410064697265625,13.390678405761719,5.413604736328125,84.07626342773438,4.319000244140625,58.23735809326172,4.5606536865234375,15.883224487304688,8.807014465332031,11.826896667480469,3.876678466796875,32676.610290527344,216043.80462646484,161812.8699951172,7383.870666503906,16913207296,18253611008,9167622144,0
2,1740535352973,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,13.919769287109375,16.6456298828125,1.7877120971679688,0.38115692138671875,86.18855285644531,0.4482269287109375,7.0446624755859375,1.3681488037109375,33.07482147216797,0.0164337158203125,2.1399459838867188,0.39363861083984375,32676.940795898438,216049.60540771484,161818.23931884766,7383.895935058594,16913207296,18253611008,9102462976,0
