Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740542440948,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,72.05513763427734,17.21735382080078,51.02763366699219,13.22772216796875,73.46603393554688,28.926376342773438,79.24856567382813,53.89615249633789,55.318260192871094,20.96955108642578,43.588050842285156,14.835540771484375,37815.38415527344,64.6915283203125,202006.2123413086,7550.423156738281,16913207296,18253611008,9185894400,0
198,1740542440950,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,71.78848266601563,19.42504119873047,55.430267333984375,35.524505615234375,34.50041198730469,66.97444152832031,47.874874114990234,100,49.63979721069336,37.57405090332031,36.08966064453125,12.299980163574219,37815.401794433594,65.152099609375,202006.62603759766,7550.423156738281,16913207296,18253611008,9196826624,0
200,1740542441148,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,19.560287475585938,3.5809783935546875,38.73355484008789,0.6286697387695313,50.50404357910156,14.737571716308594,3.4471817016601563,62.76243591308594,7.540802001953125,14.764434814453125,4.187843322753906,2.624237060546875,37815.63293457031,72.647705078125,202013.75714111328,7550.423156738281,16913207296,18253611008,9221152768,0
200,1740542441349,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,4.7382354736328125,7.774085998535156,92.09729766845703,2.0235061645507813,3.1092147827148438,29.873687744140625,3.2821731567382813,34.286598205566406,14.34490966796875,0.2889556884765625,2.105194091796875,0.9705581665039063,37815.822998046875,79.93634033203125,202020.73596191406,7550.423156738281,16913207296,18253611008,9245569024,0
200,1740542441549,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,44.93323516845703,17.88347625732422,86.92041015625,3.4868545532226563,9.614845275878906,67.90158081054688,10.571952819824219,61.08826446533203,12.506439208984375,2.3360137939453125,79.78645324707031,2.0367279052734375,37816.10388183594,91.79638671875,202032.18090820313,7550.423156738281,16913207296,18253611008,9279692800,0
200,1740542441750,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,30.694480895996094,0.7329483032226563,56.063560485839844,6.181907653808594,8.439140319824219,18.441864013671875,20.36455535888672,14.015876770019531,13.003387451171875,0,3.06573486328125,0,37816.344299316406,98.84478759765625,202038.8706665039,7550.423156738281,16913207296,18253611008,9324269568,0
200,1740542441950,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,12.012229919433594,1.2167816162109375,86.91027069091797,0.10478973388671875,15.03265380859375,6.447380065917969,4.0272216796875,0.6242904663085938,13.521842956542969,0.1297607421875,1.3710250854492188,0.41431427001953125,37816.63299560547,104.97869873046875,202044.59637451172,7550.423156738281,16913207296,18253611008,9530036224,0
200,1740542442151,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,12.692047119140625,0.8190765380859375,86.03543853759766,0.597320556640625,6.817802429199219,21.249160766601563,23.111221313476563,3.5514678955078125,3.0130767822265625,17.898117065429688,4.8966217041015625,11.043266296386719,37816.87823486328,111.93408203125,202051.150390625,7550.449768066406,16913207296,18253611008,9547685888,0
200,1740542442351,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2.0806350708007813,1.0494461059570313,100,0.0013427734375,2.9122695922851563,1.592315673828125,1.3278350830078125,0.5550918579101563,0.620361328125,0.018402099609375,0.42340087890625,0.0661163330078125,37817.018005371094,117.026123046875,202055.90350341797,7550.449768066406,16913207296,18253611008,9546596352,0
200,1740542442552,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,0.6555633544921875,0.1194000244140625,100,0.06341552734375,2.0421142578125,2.4274749755859375,1.4434280395507813,0.8126449584960938,0.97845458984375,0.09197998046875,0.8115997314453125,0.138092041015625,37817.15832519531,122.1832275390625,202060.73413085938,7550.478271484375,16913207296,18253611008,9546543104,0
200,1740542442752,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,1.2269439697265625,0.0839080810546875,100,0.115966796875,1.4616241455078125,2.3416595458984375,0.982391357421875,0.7002487182617188,0.7710494995117188,0.16562652587890625,0.3806610107421875,0.23572540283203125,37817.298278808594,127.34490966796875,202065.5298461914,7550.478515625,16913207296,18253611008,9546559488,0
199,1740542442953,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,1.33349609375,0.0496063232421875,100,0.0587310791015625,2.143157958984375,2.1864776611328125,1.4688568115234375,0.27704620361328125,0.80816650390625,0.1173095703125,1.4704513549804688,0.04412078857421875,37817.43713378906,132.42919921875,202070.30853271484,7550.478515625,16913207296,18253611008,9546559488,0
200,1740542443153,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,10.541725158691406,2.0184555053710938,100,0.26691436767578125,12.944633483886719,1.412017822265625,5.454719543457031,2.8400726318359375,6.870033264160156,0.5373687744140625,5.650566101074219,2.8219833374023438,37817.59716796875,138.38568115234375,202075.9292602539,7550.478515625,16913207296,18253611008,9576701952,0
6,1740542443354,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,3.2752761840820313,0,58.99884033203125,0,4.9356536865234375,6.613677978515625,0.7785110473632813,3.423858642578125,12.753440856933594,0,0.08615875244140625,0,37817.76824951172,142.5306396484375,202079.74932861328,7550.478515625,16913207296,18253611008,9178247168,0
