Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740533873530,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,19.118133544921875,4.775062561035156,19.949188232421875,45.8421630859375,64.01179504394531,6.659942626953125,69.18388366699219,9.773536682128906,39.860084533691406,5.7720794677734375,28.826560974121094,5.4210205078125,31612.33544921875,208278.88604736328,155184.54034423828,7350.507568359375,16913207296,18253611008,9109831680,0
198,1740533873532,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,100,100,100,100,31612.343811035156,208279.1484375,155184.81787109375,7350.507568359375,16913207296,18253611008,9109520384,0
200,1740533873731,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,18.136085510253906,3.6771240234375,5.777839660644531,33.64801025390625,66.8951187133789,3.6877593994140625,42.89915084838867,4.710838317871094,12.837303161621094,2.833892822265625,33.64668273925781,3.2020034790039063,31612.571044921875,208286.33404541016,155191.60064697266,7350.507568359375,16913207296,18253611008,9157169152,0
200,1740533873931,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,1.6064300537109375,10.816741943359375,2.663665771484375,0.8275299072265625,2.8037567138671875,2.2777557373046875,13.964515686035156,0.812164306640625,62.920047760009766,0.3396759033203125,39.46892166137695,1.1327896118164063,31612.842224121094,208291.78979492188,155196.67938232422,7350.507568359375,16913207296,18253611008,9335443456,0
200,1740533874132,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,4.892616271972656,1.440277099609375,3.1325836181640625,2.2595596313476563,4.4197235107421875,5.5445404052734375,3.1824798583984375,1.7779693603515625,99.9453125,1.3092727661132813,4.2299346923828125,1.4460067749023438,31612.99005126953,208297.08447265625,155201.6436767578,7350.507568359375,16913207296,18253611008,9231294464,0
199,1740533874332,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,0,0,0,0,1.5140151977539063,0.38263702392578125,0.30503082275390625,0,100,0,0.26035308837890625,0,31613.12969970703,208302.17083740234,155206.41473388672,7350.507568359375,16913207296,18253611008,9230827520,0
199,1740533874532,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,0.4725799560546875,0.23511505126953125,1.0318222045898438,0.27050018310546875,1.72027587890625,1.7505111694335938,1.5479354858398438,0.13735198974609375,100,0.052978515625,0.7888641357421875,0.1334991455078125,31613.27001953125,208307.29473876953,155211.20629882813,7350.507568359375,16913207296,18253611008,9226354688,0
200,1740533874732,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,0.7928009033203125,8.026168823242188,0.8681259155273438,0.15804290771484375,2.832733154296875,1.997894287109375,4.240699768066406,0.10150909423828125,100,0.07826995849609375,1.326751708984375,0.02968597412109375,31613.4169921875,208312.7808227539,155216.34106445313,7350.534606933594,16913207296,18253611008,9226469376,0
200,1740533874933,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,1.8095321655273438,0.6429824829101563,8.438461303710938,0.21677398681640625,1.4587936401367188,1.5773544311523438,3.112060546875,0.5843276977539063,100,0,0.4074554443359375,7.618560791015625,31613.578552246094,208318.2269897461,155221.44396972656,7350.534606933594,16913207296,18253611008,9233944576,0
2,1740533875133,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,4.626274108886719,0.8164215087890625,9.866790771484375,1.8657760620117188,6.153709411621094,2.28546142578125,3.59014892578125,0.9720382690429688,10.346771240234375,1.00677490234375,2.2556686401367188,0.27680206298828125,31613.725158691406,208319.62438964844,155222.64099121094,7350.534606933594,16913207296,18253611008,9113292800,0
