Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740528072989,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,30.85406494140625,22.167030334472656,27.621681213378906,23.07166290283203,66.59186553955078,19.095748901367188,25.958175659179688,35.041587829589844,68.72079467773438,20.025314331054688,63.06731414794922,22.53144073486328,27434.644592285156,175570.0009765625,127040.0892944336,7210.7381591796875,16913207296,18253611008,9112944640,0
199,1740528072989,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,100,100,100,100,27434.651977539063,175570.10955810547,127040.18603515625,7210.7381591796875,16913207296,18253611008,9114755072,0
199,1740528073189,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,6.695930480957031,2.0175704956054688,5.355415344238281,3.7591400146484375,84.15082550048828,2.9199981689453125,34.73643493652344,2.3709945678710938,41.7132682800293,2.1785202026367188,9.518997192382813,4.996978759765625,27434.88397216797,175576.4526977539,127046.1318359375,7210.7381591796875,16913207296,18253611008,9199747072,0
200,1740528073389,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,3.7557525634765625,1.8919830322265625,1.8833465576171875,0.6659622192382813,93.31690979003906,0.6525726318359375,3.101226806640625,0.5923843383789063,10.197029113769531,0.6601181030273438,1.1087875366210938,1.3541030883789063,27435.13623046875,175581.51776123047,127050.82818603516,7210.7381591796875,16913207296,18253611008,9268269056,0
200,1740528073590,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2.3475112915039063,1.7498397827148438,3.1277847290039063,1.3742141723632813,99.80831146240234,0.7820968627929688,4.041831970214844,0.903289794921875,7.420509338378906,1.3049468994140625,4.078483581542969,1.591552734375,27435.3125,175587.07525634766,127056.04510498047,7210.7381591796875,16913207296,18253611008,9280671744,0
2,1740528073790,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,1.90838623046875,29.396316528320313,17.87700653076172,0.06217193603515625,44.16427993774414,0.8987350463867188,6.740913391113281,0.19176483154296875,11.711174011230469,4.624687194824219,6.628929138183594,0,27435.541137695313,175591.43383789063,127060.06066894531,7210.7381591796875,16913207296,18253611008,9157529600,0
