Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_10,CPU_FREQUENCY_11,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_FREQUENCY_8,CPU_FREQUENCY_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_10,CPU_USAGE_11,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,CPU_USAGE_8,CPU_USAGE_9,DRAM_ENERGY (J),PACKAGE_ENERGY (J),PP0_ENERGY (J),PP1_ENERGY (J),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1740539871562,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,21.03284454345703,14.326271057128906,22.047653198242188,27.360855102539063,72.7548828125,10.13275146484375,49.722476959228516,9.781051635742188,60.514503479003906,12.239105224609375,67.21212005615234,10.665412902832031,35958.737365722656,248175.70721435547,189971.89794921875,7490.916259765625,16913207296,18253611008,9218146304,0
198,1740539871564,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,100,100,100,100,100,100,100,100,100,100,100,100,35958.74621582031,248175.84326171875,189972.0450439453,7490.916259765625,16913207296,18253611008,9217671168,0
200,1740539871762,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,10.041679382324219,8.512008666992188,45.54581832885742,4.6008453369140625,52.555320739746094,15.789962768554688,54.78776931762695,15.032279968261719,12.717765808105469,5.3792877197265625,12.004463195800781,5.0547637939453125,35958.95196533203,248182.75909423828,189978.61395263672,7490.916259765625,16913207296,18253611008,9263222784,0
200,1740539871963,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,10.127212524414063,0.13364410400390625,91.68753814697266,1.1424407958984375,4.576408386230469,28.583389282226563,6.8194580078125,31.377365112304688,6.963020324707031,0.26434326171875,6.842048645019531,0.23117828369140625,35959.150390625,248189.7696533203,189985.24743652344,7490.916259765625,16913207296,18253611008,9282670592,0
200,1740539872163,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,51.517662048339844,12.428939819335938,81.68943786621094,13.115882873535156,19.1668701171875,76.34259033203125,23.8272705078125,54.94131851196289,36.67438507080078,7.4498291015625,66.78984069824219,7.368156433105469,35959.466735839844,248201.94342041016,189997.07653808594,7490.916259765625,16913207296,18253611008,9346875392,0
199,1740539872363,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,27.040725708007813,4.3749542236328125,64.63497924804688,6.615211486816406,11.768028259277344,17.845504760742188,24.334938049316406,13.758102416992188,16.88727569580078,0,6.792884826660156,6.44378662109375,35959.70556640625,248209.14715576172,190003.87274169922,7490.916259765625,16913207296,18253611008,9325928448,0
200,1740539872563,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,16.131080627441406,0.61248779296875,98.9116439819336,0.2087249755859375,11.470649719238281,3.711151123046875,4.1505889892578125,0.486663818359375,1.7134323120117188,0.0014495849609375,1.523193359375,0.6787948608398438,35960.01611328125,248215.26165771484,190009.55584716797,7490.9520263671875,16913207296,18253611008,9554677760,0
200,1740539872764,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,24.408065795898438,3.58935546875,87.54755401611328,2.1619720458984375,6.02685546875,16.70996856689453,10.759757995605469,8.748680114746094,6.473381042480469,4.869880676269531,11.700897216796875,19.39093017578125,35960.32995605469,248221.17346191406,190014.97137451172,7491.0242919921875,16913207296,18253611008,9591468032,0
199,1740539872964,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,5.350303649902344,0,100,0,6.414299011230469,0.73095703125,0,0,0,0,0,1.2333221435546875,35960.536071777344,248226.40209960938,190019.8035888672,7491.061462402344,16913207296,18253611008,9598832640,0
200,1740539873164,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,1.7169570922851563,0.18552398681640625,100,0.0417327880859375,3.4326705932617188,2.5872116088867188,9.5845947265625,0.18082427978515625,0.9894485473632813,0.0649261474609375,0.7646942138671875,0.05792999267578125,35960.73864746094,248231.68768310547,190024.697265625,7491.10009765625,16913207296,18253611008,9596276736,0
200,1740539873364,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2.5759658813476563,0.392120361328125,100,0.04627227783203125,3.2498779296875,2.0122909545898438,2.105987548828125,0.722381591796875,0.34705352783203125,0.51824951171875,0.43270111083984375,1.182220458984375,35960.93200683594,248236.87353515625,190029.47564697266,7491.164367675781,16913207296,18253611008,9595580416,0
6,1740539873565,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,2592,0.5528793334960938,0,69.16663360595703,0,7.4707794189453125,2.39862060546875,0.5251541137695313,3.3898849487304688,0.18769073486328125,0,0,0,35961.151611328125,248240.75915527344,190032.93548583984,7491.206115722656,16913207296,18253611008,9221808128,0
